"","LASSO","Ridge","RandomForest","GradientBoost"
"MSE",1267254387.84592,1275129313.40944,1056718391.38486,866013672.183909
"RSS",742611071277.709,747225777657.931,619236977351.528,507484011899.771
"sqrt(MSE)",35598.5166523258,35708.9528467223,32507.2052226096,29428.1102380685
