"","LASSO","Ridge","RandomForest","GradientBoost"
"MSE",762389170.691385,821616459.993337,870651748.19843,632718392.511002
"RSS",445997664854.46,480645629096.102,509331272696.082,370140259618.936
"sqrt(MSE)",27611.3956672129,28663.8528462825,29506.8085058081,25153.894181836
