"","Feature","RandomForest","GradientBoost"
"1","MS.SubClass",40.9979191085955,0
"2","MS.Zoning",9.65233847762099,0
"3","Lot.Frontage",8.59820033117283,0.118168125847497
"4","Lot.Area",21.8476710190022,0.977579920707166
"5","Street",-1.365120690308,0
"6","Lot.Shape",4.58558178968093,0
"7","Land.Contour",1.55246599579232,0.052879168237052
"8","Lot.Config",1.3611942619279,0.0168019046358646
"9","Land.Slope",5.50281540817253,0.0310821045153996
"10","Neighborhood",13.0477540695116,11.1639762680417
"11","Condition.1",5.60321630487816,0.163306164701602
"12","Condition.2",1.06206237540176,0.0378485992094177
"13","Bldg.Type",3.37669611252414,0.0150642700645678
"14","House.Style",5.36796477638066,0.078823298307972
"15","Overall.Qual",77.2606437950525,38.0305081857075
"16","Overall.Cond",16.0173126819647,0.596998701298352
"17","Year.Built",24.44970869869,0.0814248270554446
"18","Year.Remod.Add",17.2628005741618,0.855065628961438
"19","Roof.Style",1.46478944803446,0.0132772048284871
"20","Roof.Matl",1.11454514241317,0.0601846273034632
"21","Exterior.1st",12.3179680567222,0.211898895353791
"22","Exterior.2nd",7.33349532372734,0.151710198455483
"23","Mas.Vnr.Type",3.00505148966039,0
"24","Mas.Vnr.Area",4.3251718012508,1.04693579419594
"25","Exter.Qual",6.52453777887758,0.720671623145139
"26","Exter.Cond",2.95159531714364,0.0172040111133342
"27","Foundation",4.23441628126642,0
"28","Bsmt.Qual",11.5973247687159,2.20298591531699
"29","Bsmt.Cond",9.6973956021575,0
"30","Bsmt.Exposure",9.19017221703375,0.680491021679053
"31","BsmtFin.Type.1",14.5462505139381,0.284856313348342
"32","BsmtFin.SF.1",30.591026440261,2.87539994458184
"33","BsmtFin.Type.2",0.593795833698956,0.0191090028764055
"34","BsmtFin.SF.2",1.8113980845229,0.0908068073628946
"35","Bsmt.Unf.SF",8.06156648747663,0.159288960468316
"36","Total.Bsmt.SF",30.8353724356558,6.36977046806498
"37","Heating",0.732218996582409,0
"38","Heating.QC",7.7992985815435,0.0267622398172774
"39","Central.Air",10.3746112587204,0.327886989683965
"40","Electrical",-1.47386916596901,0
"41","X1st.Flr.SF",35.9332974930661,1.91714424876749
"42","X2nd.Flr.SF",16.0221320041729,0.108703802548938
"43","Low.Qual.Fin.SF",0.523542319169434,0
"44","Gr.Liv.Area",69.1607389634281,16.8181157659722
"45","Bsmt.Full.Bath",9.33532298905423,0.0283987116932641
"46","Bsmt.Half.Bath",3.34863937425362,0
"47","Full.Bath",17.4510860519487,0.375675773563484
"48","Half.Bath",3.96046497595696,0.0219132823675308
"49","Bedroom.AbvGr",7.75208876916422,0
"50","Kitchen.AbvGr",2.45321282801985,0
"51","Kitchen.Qual",16.9968781274218,2.80207601101073
"52","TotRms.AbvGrd",7.08646486488772,0.10672913988515
"53","Functional",4.47549987659069,0.100916647333516
"54","Fireplaces",8.06496571862205,0.282077870228864
"55","Fireplace.Qu",10.2975849452264,1.03811575193339
"56","Garage.Type",10.047548120618,1.46048124340885
"57","Garage.Yr.Blt",10.9279858019029,1.1815166863492
"58","Garage.Finish",8.08493875361582,0.318931974436794
"59","Garage.Cars",11.0838984436918,2.50636393641751
"60","Garage.Area",24.2138987649468,2.46275776703354
"61","Garage.Qual",4.79990045107142,0
"62","Garage.Cond",4.51820343399263,0
"63","Paved.Drive",3.78222129571772,0
"64","Fence",-0.492728744721899,0
"65","Misc.Feature",0.605674780533846,0
"66","Misc.Val",0.507190925257209,0
"67","Mo.Sold",4.63627015904157,0
"68","Yr.Sold",-1.59665677867366,0
"69","Sale.Type",3.19782909160053,0.185682479389973
"70","Sale.Condition",6.15584572858131,0.258703891425127
"71","Has.Alley",3.75850724782312,0
"72","Has.Basement",1.32068884343747,0
"73","Has.Fireplace",5.12069427224508,0
"74","Has.Garage",2.60768458462094,0
"75","Has.Pool",1.38201748236494,0
"76","Has.Wood.Deck",4.12450816947005,0
"77","Has.Open.Porch",4.99349857629587,0
"78","Has.Enclosed.Porch",2.4560183423797,0
"79","Has.X3Ssn.Porch",0.400549363849697,0
"80","Has.Screen.Porch",4.85641317821457,0
